城市,象限类别_2006,象限类别_2024,财政自给率(%)_2006,个人储蓄率(%)_2006,财政自给率(%)_2024,个人储蓄率(%)_2024
乌鲁木齐,第一象限（Gov强+民富）,第一象限（Gov强+民富）,115.1625,103.6466,79.7603,131.1761
太原,第一象限（Gov强+民富）,第二象限（Gov弱+民富）,78.9457,116.8007,59.1445,179.7644
北京,第一象限（Gov强+民富）,第一象限（Gov强+民富）,86.144,101.0059,75.897,141.7312
广州,第一象限（Gov强+民富）,第四象限（Gov强+民弱）,84.2716,91.5791,70.2512,104.3875
郑州,第一象限（Gov强+民富）,第四象限（Gov强+民弱）,93.8026,80.4935,75.7051,98.7693
昆明,第一象限（Gov强+民富）,第四象限（Gov强+民弱）,77.5883,95.7574,64.925,109.9182
上海,第一象限（Gov强+民富）,第一象限（Gov强+民富）,87.7755,80.6437,84.8031,118.8832
西安,第二象限（Gov弱+民富）,第二象限（Gov弱+民富）,72.0433,132.3578,64.1777,139.1366
海口,第二象限（Gov弱+民富）,第一象限（Gov强+民富）,65.5194,116.2344,69.4117,127.6937
兰州,第二象限（Gov弱+民富）,第二象限（Gov弱+民富）,52.4949,107.7185,45.9992,150.6992
西宁,第二象限（Gov弱+民富）,第二象限（Gov弱+民富）,41.2708,96.868,33.5328,148.988
贵阳,第二象限（Gov弱+民富）,第三象限（Gov弱+民弱）,69.7949,96.5698,62.6347,98.0477
银川,第二象限（Gov弱+民富）,第二象限（Gov弱+民富）,65.3654,91.3776,46.8974,117.4593
成都,第二象限（Gov弱+民富）,第一象限（Gov强+民富）,74.0446,87.6738,74.6823,123.3102
拉萨,第三象限（Gov弱+民弱）,第三象限（Gov弱+民弱）,24.8566,77.1462,25.9246,80.0079
呼和浩特,第三象限（Gov弱+民弱）,第三象限（Gov弱+民弱）,60.2914,50.3377,43.8644,91.828
长春,第三象限（Gov弱+民弱）,第二象限（Gov弱+民富）,48.8103,67.4596,40.473,153.9107
重庆,第三象限（Gov弱+民弱）,第三象限（Gov弱+民弱）,53.4657,74.6784,46.1742,99.4859
南昌,第三象限（Gov弱+民弱）,第三象限（Gov弱+民弱）,72.9463,61.9858,55.9756,96.3562
哈尔滨,第三象限（Gov弱+民弱）,第二象限（Gov弱+民富）,60.7612,74.6786,26.8647,200.3923
石家庄,第三象限（Gov弱+民弱）,第二象限（Gov弱+民富）,60.3275,76.6415,58.5303,180.7905
南宁,第三象限（Gov弱+民弱）,第三象限（Gov弱+民弱）,60.8294,78.3141,47.8249,111.9736
沈阳,第三象限（Gov弱+民弱）,第一象限（Gov强+民富）,65.3483,76.2802,71.1284,167.6278
武汉,第三象限（Gov弱+民弱）,第四象限（Gov强+民弱）,69.2758,72.8639,67.2031,86.4606
大连,第三象限（Gov弱+民弱）,第一象限（Gov强+民富）,73.593,72.6354,71.3982,130.3106
杭州,第四象限（Gov强+民弱）,第一象限（Gov强+民富）,109.4054,71.878,98.1408,116.858
福州,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,105.0518,78.8065,73.1852,80.504
青岛,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,95.439,48.8876,77.8449,84.7404
南京,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,93.8962,66.1509,93.5939,92.3843
宁波,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,87.933,60.9524,80.2768,89.5734
深圳,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,87.6553,64.4132,83.265,83.5802
济南,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,87.386,54.12,77.5185,98.1986
厦门,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,85.5715,58.2884,88.1184,76.2158
长沙,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,79.4485,60.7595,75.9967,81.3677
合肥,第四象限（Gov强+民弱）,第三象限（Gov弱+民弱）,77.1698,58.1657,60.4031,79.8496
天津,第四象限（Gov强+民弱）,第二象限（Gov弱+民富）,76.7878,78.1656,58.8391,134.2325
