城市,年份,收入,支出,存款,GDP,财政自给率(%),个人储蓄率(%)
上海,2006,1576.07,1795.57,8730.0,10825.4,87.7755,80.6437
上海,2007,2074.48,2181.68,8745.22,13179.8,95.0864,66.3532
上海,2008,2358.75,2593.92,11464.15,14877.1,90.9338,77.059
上海,2009,2540.3,2989.65,13707.32,16181.4,84.9698,84.7103
上海,2010,2873.58,3302.89,15650.24,18319.6,87.002,85.4289
上海,2011,3429.83,3914.88,17288.45,20406.1,87.6101,84.722
上海,2012,3743.71,4184.02,19506.7,21774.9,89.4764,89.5834
上海,2013,4109.51,4528.61,20486.25,23809.4,90.7455,86.0427
上海,2014,4585.55,4923.44,21269.3,25964.5,93.1371,81.9168
上海,2015,5519.5,6191.56,23384.73,27821.6,89.1455,84.0524
上海,2016,6406.13,6918.94,23639.8,30963.9,92.5883,76.3463
上海,2017,6642.26,7547.62,24338.48,34378.3,88.0047,70.7961
上海,2018,7108.15,8351.54,27071.74,37769.1,85.1118,71.677
上海,2019,7165.1,8179.28,31727.73,40241.2,87.6006,78.8439
上海,2020,7046.3,8102.11,36733.97,41603.9,86.9687,88.2945
上海,2021,7771.8,8430.86,41150.4,47059.4,92.1828,87.4435
上海,2022,7608.0,9393.0,52638.0,48594.5,80.9965,108.3209
上海,2023,8312.5,9638.51,58319.93,51404.5,86.2426,113.453
上海,2024,8374.17,9874.84,63910.99,53759.5,84.8031,118.8832
乌鲁木齐,2006,57.04,49.53,678.16,654.3,115.1625,103.6466
乌鲁木齐,2007,73.43,68.32,679.53,820.28,107.4795,82.8412
乌鲁木齐,2008,100.98,99.35,872.22,1020.35,101.6407,85.4824
乌鲁木齐,2009,113.54,133.88,1040.71,1095.0,84.8073,95.042
乌鲁木齐,2010,147.99,159.61,1242.85,1338.5,92.7198,92.8539
乌鲁木齐,2011,229.59,238.49,1470.34,1690.03,96.2682,87.0008
乌鲁木齐,2012,252.01,295.6,1715.97,2004.1,85.2537,85.623
乌鲁木齐,2013,301.9,353.2,1896.3,2202.85,85.4757,86.0839
乌鲁木齐,2014,340.62,404.81,1974.84,2461.47,84.1432,80.2301
乌鲁木齐,2015,368.67,446.66,2157.31,2631.64,82.5393,81.9759
乌鲁木齐,2016,369.67,417.56,2295.69,2458.98,88.531,93.3594
乌鲁木齐,2017,400.78,458.58,2600.39,2743.82,87.3959,94.7726
乌鲁木齐,2018,458.28,659.79,2871.11,3099.77,69.4585,92.6233
乌鲁木齐,2019,472.46,620.28,3171.71,3413.0,76.1688,92.9303
乌鲁木齐,2020,392.64,536.87,3680.28,3337.0,73.135,110.2871
