,,城市,财政自给率(%),个人储蓄率(%)
第一象限（Gov强+民富）,19,乌鲁木齐,115.1625,103.6466
第一象限（Gov强+民富）,247,太原,78.9457,116.8007
第一象限（Gov强+民富）,57,北京,86.144,101.0059
第一象限（Gov强+民富）,285,广州,84.2716,91.5791
第一象限（Gov强+民富）,570,郑州,93.8026,80.4935
第一象限（Gov强+民富）,342,昆明,77.5883,95.7574
第一象限（Gov强+民富）,0,上海,87.7755,80.6437
第二象限（Gov弱+民富）,532,西安,72.0433,132.3578
第二象限（Gov弱+民富）,437,海口,65.5194,116.2344
第二象限（Gov弱+民富）,38,兰州,52.4949,107.7185
第二象限（Gov弱+民富）,513,西宁,41.2708,96.868
第二象限（Gov弱+民富）,551,贵阳,69.7949,96.5698
第二象限（Gov弱+民富）,608,银川,65.3654,91.3776
第二象限（Gov弱+民富）,304,成都,74.0446,87.6738
第三象限（Gov弱+民弱）,323,拉萨,24.8566,77.1462
第三象限（Gov弱+民弱）,171,呼和浩特,60.2914,50.3377
第三象限（Gov弱+民弱）,627,长春,48.8103,67.4596
第三象限（Gov弱+民弱）,589,重庆,53.4657,74.6784
第三象限（Gov弱+民弱）,114,南昌,72.9463,61.9858
第三象限（Gov弱+民弱）,190,哈尔滨,60.7612,74.6786
第三象限（Gov弱+民弱）,475,石家庄,60.3275,76.6415
第三象限（Gov弱+民弱）,95,南宁,60.8294,78.3141
第三象限（Gov弱+民弱）,399,沈阳,65.3483,76.2802
第三象限（Gov弱+民弱）,380,武汉,69.2758,72.8639
第三象限（Gov弱+民弱）,209,大连,73.593,72.6354
第四象限（Gov强+民弱）,361,杭州,109.4054,71.878
第四象限（Gov强+民弱）,494,福州,105.0518,78.8065
第四象限（Gov强+民弱）,665,青岛,95.439,48.8876
第四象限（Gov强+民弱）,76,南京,93.8962,66.1509
第四象限（Gov强+民弱）,266,宁波,87.933,60.9524
第四象限（Gov强+民弱）,456,深圳,87.6553,64.4132
第四象限（Gov强+民弱）,418,济南,87.386,54.12
第四象限（Gov强+民弱）,133,厦门,85.5715,58.2884
第四象限（Gov强+民弱）,646,长沙,79.4485,60.7595
第四象限（Gov强+民弱）,152,合肥,77.1698,58.1657
第四象限（Gov强+民弱）,228,天津,76.7878,78.1656
