城市,象限类别_2006,象限类别_2024,财政自给率(%)_2006,个人储蓄率(%)_2006,财政自给率(%)_2024,个人储蓄率(%)_2024
太原,第一象限（Gov强+民富）,第二象限（Gov弱+民富）,78.9457,116.8007,59.1445,179.7644
广州,第一象限（Gov强+民富）,第四象限（Gov强+民弱）,84.2716,91.5791,70.2512,104.3875
郑州,第一象限（Gov强+民富）,第四象限（Gov强+民弱）,93.8026,80.4935,75.7051,98.7693
昆明,第一象限（Gov强+民富）,第四象限（Gov强+民弱）,77.5883,95.7574,64.925,109.9182
海口,第二象限（Gov弱+民富）,第一象限（Gov强+民富）,65.5194,116.2344,69.4117,127.6937
贵阳,第二象限（Gov弱+民富）,第三象限（Gov弱+民弱）,69.7949,96.5698,62.6347,98.0477
成都,第二象限（Gov弱+民富）,第一象限（Gov强+民富）,74.0446,87.6738,74.6823,123.3102
长春,第三象限（Gov弱+民弱）,第二象限（Gov弱+民富）,48.8103,67.4596,40.473,153.9107
哈尔滨,第三象限（Gov弱+民弱）,第二象限（Gov弱+民富）,60.7612,74.6786,26.8647,200.3923
石家庄,第三象限（Gov弱+民弱）,第二象限（Gov弱+民富）,60.3275,76.6415,58.5303,180.7905
沈阳,第三象限（Gov弱+民弱）,第一象限（Gov强+民富）,65.3483,76.2802,71.1284,167.6278
武汉,第三象限（Gov弱+民弱）,第四象限（Gov强+民弱）,69.2758,72.8639,67.2031,86.4606
大连,第三象限（Gov弱+民弱）,第一象限（Gov强+民富）,73.593,72.6354,71.3982,130.3106
杭州,第四象限（Gov强+民弱）,第一象限（Gov强+民富）,109.4054,71.878,98.1408,116.858
合肥,第四象限（Gov强+民弱）,第三象限（Gov弱+民弱）,77.1698,58.1657,60.4031,79.8496
天津,第四象限（Gov强+民弱）,第二象限（Gov弱+民富）,76.7878,78.1656,58.8391,134.2325
