城市,象限类别_2006,象限类别_2024,财政自给率(%)_2006,个人储蓄率(%)_2006,财政自给率(%)_2024,个人储蓄率(%)_2024
乌鲁木齐,第一象限（Gov强+民富）,第一象限（Gov强+民富）,115.1625,103.6466,79.7603,131.1761
北京,第一象限（Gov强+民富）,第一象限（Gov强+民富）,86.144,101.0059,75.897,141.7312
上海,第一象限（Gov强+民富）,第一象限（Gov强+民富）,87.7755,80.6437,84.8031,118.8832
西安,第二象限（Gov弱+民富）,第二象限（Gov弱+民富）,72.0433,132.3578,64.1777,139.1366
兰州,第二象限（Gov弱+民富）,第二象限（Gov弱+民富）,52.4949,107.7185,45.9992,150.6992
西宁,第二象限（Gov弱+民富）,第二象限（Gov弱+民富）,41.2708,96.868,33.5328,148.988
银川,第二象限（Gov弱+民富）,第二象限（Gov弱+民富）,65.3654,91.3776,46.8974,117.4593
拉萨,第三象限（Gov弱+民弱）,第三象限（Gov弱+民弱）,24.8566,77.1462,25.9246,80.0079
呼和浩特,第三象限（Gov弱+民弱）,第三象限（Gov弱+民弱）,60.2914,50.3377,43.8644,91.828
重庆,第三象限（Gov弱+民弱）,第三象限（Gov弱+民弱）,53.4657,74.6784,46.1742,99.4859
南昌,第三象限（Gov弱+民弱）,第三象限（Gov弱+民弱）,72.9463,61.9858,55.9756,96.3562
南宁,第三象限（Gov弱+民弱）,第三象限（Gov弱+民弱）,60.8294,78.3141,47.8249,111.9736
福州,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,105.0518,78.8065,73.1852,80.504
青岛,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,95.439,48.8876,77.8449,84.7404
南京,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,93.8962,66.1509,93.5939,92.3843
宁波,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,87.933,60.9524,80.2768,89.5734
深圳,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,87.6553,64.4132,83.265,83.5802
济南,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,87.386,54.12,77.5185,98.1986
厦门,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,85.5715,58.2884,88.1184,76.2158
长沙,第四象限（Gov强+民弱）,第四象限（Gov强+民弱）,79.4485,60.7595,75.9967,81.3677
